ID,Drink,Time,NegUrg
112,1.5,1,0.54
113,7.9,1,-0.16
114,7.8,1,-0.79
115,2.8,1,-0.32
116,2.3,1,0.66
117,2.0,1,0.27
118,2.6,1,0.05
119,3.1,1,0.50
120,0.5,1,-1.91
121,7.6,1,-0.19
122,1.3,1,0.08
123,0.8,1,-0.44
124,0.5,1,-0.73
125,1.9,1,1.28
126,4.3,1,1.53
127,4.9,1,1.12
128,21.0,1,1.42
129,3.9,1,0.56
130,3.3,1,0.18
131,3.0,1,1.22
132,2.4,1,-2.50
133,2.7,1,-0.21
134,1.5,1,-1.38
135,2.3,1,-0.91
136,1.2,1,-1.11
137,8.0,1,1.41
138,4.6,1,-0.26
139,3.2,1,1.85
140,1.3,1,-0.69
141,6.4,1,-0.29
142,6.4,1,-0.51
143,3.0,1,-0.30
144,2.4,1,0.12
145,3.6,1,-1.42
146,6.1,1,-0.55
147,5.5,1,-1.00
148,9.1,1,-0.11
149,1.7,1,-1.23
150,2.1,1,-1.11
151,3.3,1,-0.24
152,2.4,1,-0.44
153,0.9,1,-0.49
154,3.7,1,1.01
155,1.6,1,-0.11
156,1.3,1,-1.04
157,5.8,1,0.94
158,3.0,1,0.25
159,2.7,1,0.28
160,4.0,1,-0.84
161,2.0,1,-0.65
162,1.1,1,0.37
163,2.7,1,-1.07
164,1.3,1,0.32
165,3.4,1,-1.34
166,3.1,1,1.16
167,1.0,1,-0.24
168,3.7,1,-1.02
169,3.9,1,-0.48
170,2.9,1,-2.19
171,1.7,1,-1.17
172,1.0,1,0.02
173,4.1,1,0.68
174,7.3,1,-0.20
175,3.8,1,0.40
176,1.2,1,0.60
177,3.4,1,1.17
178,1.4,1,1.13
179,1.7,1,-0.94
180,2.1,1,0.00
1,2.0,2,-1.08
2,14.9,2,-0.21
3,4.0,2,0.79
4,3.6,2,-0.20
5,2.6,2,-0.55
6,1.6,2,-1.66
7,5.8,2,0.72
8,1.7,2,-0.66
9,3.0,2,0.24
10,9.6,2,0.92
11,0.7,2,-1.34
12,3.5,2,-0.50
13,8.8,2,0.12
14,10.0,2,1.13
15,3.3,2,0.02
16,3.0,2,0.00
17,3.0,2,-0.58
18,20.2,2,1.44
19,1.8,2,-0.32
20,14.9,2,0.76
21,3.3,2,-0.28
22,3.0,2,0.15
23,14.2,2,0.39
24,1.3,2,-1.53
25,1.7,2,-0.67
26,1.0,2,-2.19
27,1.5,2,-0.03
28,5.7,2,0.07
29,5.2,2,0.79
30,2.6,2,0.91
31,1.2,2,0.13
32,6.8,2,0.12
33,13.9,2,2.07
34,3.9,2,1.09
35,7.0,2,1.47
36,2.4,2,0.52
37,1.8,2,-0.77
38,1.3,2,-0.52
39,0.1,2,-1.60
40,12.4,2,0.58
41,5.3,2,0.09
42,6.1,2,1.33
43,1.5,2,-0.55
44,1.0,2,-0.32
45,1.9,2,-0.19
46,1.4,2,-0.39
47,5.2,2,0.45
48,3.8,2,-0.28
49,7.5,2,-0.87
50,5.5,2,0.01
51,3.5,2,1.72
52,8.3,2,0.02
53,2.6,2,-0.40
54,1.7,2,-0.35
55,4.4,2,1.07
56,2.9,2,-0.97
57,3.9,2,-0.48
58,7.1,2,1.10
59,6.6,2,-0.12
60,6.8,2,0.45
61,1.8,2,-0.54
62,0.8,2,0.82
63,2.5,2,-0.42
64,3.1,2,1.17
65,1.6,2,-1.26
66,0.9,2,-1.36
67,3.4,2,-0.09
68,7.2,2,-0.68
69,2.1,2,-0.96
70,8.9,2,-2.41
71,4.3,2,0.52
72,6.5,2,0.53
73,4.2,2,-1.26
74,3.4,2,0.45
75,3.7,2,1.84
76,4.8,2,-0.21
77,3.9,2,0.56
78,3.9,2,-0.44
79,0.8,2,-2.08
80,4.6,2,-0.49
81,2.9,2,1.91
82,1.4,2,0.53
83,4.7,2,1.16
84,6.4,2,0.74
85,1.3,2,-0.76
86,2.4,2,0.23
87,4.6,2,-1.21
88,19.7,2,1.28
89,2.2,2,0.77
90,2.8,2,1.19
91,6.0,2,1.09
92,3.7,2,-1.37
93,5.2,2,2.17
94,14.9,2,0.99
95,2.1,2,0.84
96,10.7,2,2.06
97,0.8,2,1.05
98,3.2,2,0.22
99,7.1,2,1.80
100,4.2,2,-0.11
101,3.7,2,-1.08
102,11.5,2,-0.31
103,2.6,2,-0.78
104,4.6,2,0.23
105,8.9,2,0.71
106,1.8,2,0.05
107,21.2,2,1.79
108,3.7,2,-0.25
109,3.1,2,-1.58
110,9.5,2,1.93
111,8.7,2,0.05
112,3.2,2,0.54
113,8.9,2,-0.16
114,10.6,2,-0.79
115,1.2,2,-0.32
116,3.3,2,0.66
117,2.2,2,0.27
118,3.3,2,0.05
119,5.3,2,0.50
120,0.5,2,-1.91
121,4.4,2,-0.19
122,4.1,2,0.08
123,1.0,2,-0.44
124,0.5,2,-0.73
125,4.0,2,1.28
126,7.6,2,1.53
127,8.4,2,1.12
128,9.9,2,1.42
129,1.6,2,0.56
130,7.2,2,0.18
131,2.1,2,1.22
132,1.0,2,-2.50
133,0.8,2,-0.21
134,0.9,2,-1.38
135,1.1,2,-0.91
136,0.5,2,-1.11
137,4.9,2,1.41
138,2.1,2,-0.26
139,8.7,2,1.85
140,0.6,2,-0.69
141,4.4,2,-0.29
142,15.8,2,-0.51
143,1.9,2,-0.30
144,2.8,2,0.12
145,1.9,2,-1.42
146,1.6,2,-0.55
147,4.7,2,-1.00
148,4.8,2,-0.11
149,1.7,2,-1.23
150,4.3,2,-1.11
151,12.9,2,-0.24
152,1.4,2,-0.44
153,2.1,2,-0.49
154,1.8,2,1.01
155,5.1,2,-0.11
156,1.4,2,-1.04
157,4.1,2,0.94
158,2.3,2,0.25
159,2.7,2,0.28
160,10.5,2,-0.84
